ラップ数,タイム,累積時間,距離,平均ペース,勾配調整後のペース（GAP）平均,平均心拍数,最大心拍数,総上昇量,総下降量,平均パワー,平均W/kg,最大パワー,最大W/kg,平均ピッチ,平均接地時間,平均GCTバランス,平均歩幅,平均上下動,平均上下動比,カロリー,平均気温,最高ペース,最高ピッチ,移動時間,平均移動ペース,身長,体重
1,00:54.7,00:54.7,0.2,4:33,,126,148,,7,,,,,169,197,左 51.5%／右 48.5%,1.22,10.5,8.5,7,,3:48,176,0:48,4:00,167,60
2,00:48.6,01:43.3,0.2,4:03,,154,158,9,,,,,,175,191,左 51.9%／右 48.1%,1.39,10.7,7.5,8,,4:04,176,0:48,4:00,167,60
3,00:51.9,02:35.2,0.2,4:20,,159,162,,10,,,,,176,196,左 52.2%／右 47.8%,1.28,10.3,7.8,11,,4:24,178,00:51.9,4:20,167,60
4,00:50.2,03:25.5,0.2,4:11,,161,166,9,,,,,,177,196,左 52.4%／右 47.6%,1.32,10,7.4,11,,4:13,180,00:50.2,4:11,167,60
5,00:49.4,04:14.9,0.2,4:07,,169,172,,7,,,,,178,195,左 52.2%／右 47.8%,1.36,9.7,6.9,12,,3:51,180,0:49,4:05,167,60
6,00:51.9,05:06.8,0.2,4:19,,174,178,7,3,,,,,177,203,左 52.1%／右 47.9%,1.32,9.7,7.2,12,,4:05,179,00:51.9,4:19,167,60
7,00:54.3,06:01.1,0.2,4:32,,172,178,3,8,,,,,176,205,左 51.8%／右 48.2%,1.26,9.8,7.5,11,,4:23,177,0:54,4:30,167,60
8,00:54.7,06:55.9,0.2,4:34,,172,175,7,2,,,,,176,203,左 51.5%／右 48.5%,1.27,9.9,7.6,12,,4:28,177,00:54.7,4:34,167,60
9,00:54.5,07:50.4,0.2,4:33,,174,180,3,8,,,,,177,207,左 51.4%／右 48.6%,1.23,9.6,7.6,12,,4:32,180,00:54.5,4:33,167,60
10,00:53.9,08:44.3,0.2,4:30,,180,183,7,2,,,,,177,204,左 51.3%／右 48.7%,1.25,10,7.8,11,,4:22,178,00:53.9,4:30,167,60
11,00:56.2,09:40.5,0.2,4:41,,175,177,3,9,,,,,177,208,左 51.5%／右 48.5%,1.24,9.7,7.6,12,,4:29,179,0:56,4:40,167,60
12,00:57.9,10:38,0.2,4:49,,175,177,12,5,,,,,177,209,左 51.5%／右 48.5%,1.17,9.8,8.1,11,,4:41,179,00:57.9,4:49,167,60
13,00:56.0,11:34,0.2,4:40,,174,175,,8,,,,,178,210,左 51.0%／右 49.0%,1.17,9.6,8,12,,4:47,180,0:56,4:40,167,60
14,00:57.1,12:32,0.2,4:46,,175,177,8,,,,,,178,209,左 51.3%／右 48.7%,1.19,9.7,7.9,12,,4:46,179,0:57,4:45,167,60
15,00:57.5,13:29,0.2,4:47,,177,179,,8,,,,,179,208,左 51.3%／右 48.7%,1.2,9.4,7.7,12,,4:41,180,0:57,4:45,167,60
16,00:51.1,14:20,0.16,5:12,,176,178,7,,,,,,171,208,左 51.3%／右 48.7%,1.24,9.1,7.5,11,,4:45,182,0:50,5:05,167,60
