time
47.3
48.5
52.9
56.6
54.9
59.2
57.9
56.8
58.4
57.4
61.1
62.8
62.2
61.4
52.6
50.3
45.7
47.0
47.2
47.9
46.9
48.5
47.7
48.0
45.9
48.3
47.8
47.1
46.5
46.2
63.9
60.7
54.7
49.5
47.9
50.3
49.6
50.9
50.5
49.8
50.9
52.7
53.1
49.9
47.8
