time
63.6
62.9
68.7
73.2
70.9
78.5
77.5
85.7
78.1
82.6
78.0
88.2
81.6
70.1
70.3
61.3
64.1
69.1
70.6
69.4
66.7
72.1
71.3
69.2
70.9
70.8
70.5
71.6
64.0
65.2
64.3
71.4
69.4
68.7
72.4
69.0
67.7
72.4
70.2
73.2
67.3
73.3
67.7
68.3
67.4
