time
51.5
52.0
50.4
53.2
53.0
54.3
56.1
52.2
54.4
53.0
55.5
54.0
53.2
52.0
52.7
50.8
51.6
52.5
52.5
49.9
51.0
51.7
51.1
51.0
52.4
50.8
50.4
50.7
48.0
40.4
52.3
52.3
50.5
51.0
50.8
51.1
50.2
51.7
51.5
52.4
52.1
50.0
50.4
47.1
43.5
52.1
47.6
52.6
50.1
51.4
54.3
51.4
55.3
53.2
53.7
50.5
55.0
51.8
48.0
48.2
