time
46.5
45.9
44.4
45.1
45.4
46.6
47.0
45.3
46.3
42.9
46.3
45.5
47.3
46.8
48.5
44.6
44.0
49.5
46.2
46.9
45.1
45.6
46.4
46.7
46.4
48.0
47.5
48.9
47.3
46.1
41.6
46.5
49.2
51.2
50.3
50.9
51.2
54.0
50.0
50.6
53.9
54.8
53.9
55.4
54.8
