time
47.7
49.5
49.0
52.2
52.2
52.5
53.8
55.3
56.0
56.9
55.7
55.5
54.4
54.0
53.8
43.6
47.3
47.6
48.2
52.3
53.5
52.3
52.5
55.1
54.4
55.2
56.6
57.1
57.6
52.9
48.5
47.0
52.6
52.3
54.8
51.5
53.1
51.4
53.2
53.3
54.0
54.4
55.8
55.8
47.9
