time
47.9
48.0
49.4
53.2
55.0
57.2
57.6
58.1
58.5
58.7
59.9
59.8
63.2
63.0
59.4
52.1
50.2
52.1
55.2
53.7
55.0
56.8
56.2
58.8
60.7
62.0
60.7
65.9
60.6
63.0
52.6
54.1
55.5
55.9
55.1
55.9
54.3
56.9
55.3
57.4
56.7
57.1
57.1
54.8
54.2
