time
57.7
60.3
57.9
58.7
61.6
70.1
79.1
75.4
77.9
81.1
76.2
89.1
74.5
78.4
64.2
61.1
67.6
65.1
67.0
66.8
68.9
67.5
70.0
69.3
69.7
69.0
69.1
68.4
68.8
63.3
61.1
67.6
65.1
67.0
66.8
68.9
67.5
70.0
69.3
69.7
69.0
69.1
68.4
68.8
63.3
