time
49.3
49.4
52.0
53.4
54.0
51.8
54.4
54.7
55.7
57.2
57.2
56.8
55.2
58.4
54.3
51.7
51.5
52.7
51.9
52.6
53.0
54.0
53.8
55.8
55.6
54.5
57.2
55.9
57.8
54.7
47.3
52.3
50.4
51.0
52.0
51.0
53.1
55.5
51.9
51.7
53.4
52.6
56.4
52.7
55.6
