time
47.5
46.6
46.9
49.0
46.9
48.6
49.6
47.1
49.4
48.0
48.8
50.2
46.3
45.6
46.6
43.7
43.2
44.2
45.3
47.1
47.2
47.5
48.6
49.8
50.1
51.7
50.5
54.8
50.9
52.8
45.9
43.5
44.4
45.4
46.0
46.1
47.1
45.0
47.9
49.0
48.5
49.4
50.3
47.9
48.8
