ラップ数,タイム,累積時間,距離,平均ペース,勾配調整後のペース（GAP）平均,平均心拍数,最大心拍数,総上昇量,総下降量,平均パワー,平均W/kg,最大パワー,最大W/kg,平均ピッチ,平均接地時間,平均GCTバランス,平均歩幅,平均上下動,平均上下動比,カロリー,平均気温,最高ペース,最高ピッチ,移動時間,平均移動ペース,身長,体重
3,00:52.6,02:28.1,0.2,4:23,,194,195,,9.0,,,,,160,221,50.3% L / 49.7% R,1.5,11.2,7.2,15,,3:57,162,00:52.6,4:23,178,74
4,00:52.3,03:20.4,0.2,4:21,,194,196,10.0,,,,,,160,221,50.3% L / 49.7% R,1.47,11.4,7.4,15,,4:03,162,0:52,4:20,178,74
5,00:54.8,04:15.2,0.2,4:34,,197,200,,11.0,,,,,160,218,50.3% L / 49.7% R,1.38,11.3,7.9,16,,4:25,162,00:54.8,4:34,178,74
6,00:51.5,05:06.7,0.2,4:17,,199,200,12.0,11.0,,,,,159,222,50.2% L / 49.8% R,1.46,11.3,7.4,16,,4:08,161,00:51.5,4:17,178,74
7,00:53.1,05:59.8,0.2,4:26,,199,200,,,,,,,159,218,50.2% L / 49.8% R,1.39,11.4,7.9,16,,4:22,160,0:53,4:25,178,74
8,00:51.4,06:51.2,0.2,4:17,,201,202,13.0,12.0,,,,,159,219,50.2% L / 49.8% R,1.45,11.2,7.5,16,,4:14,160,0:51,4:15,178,74
9,00:53.2,07:44.4,0.2,4:26,,201,202,,,,,,,159,218,49.9% L / 50.1% R,1.45,11.3,7.6,16,,4:16,160,0:53,4:25,178,74
10,00:53.3,08:37.7,0.2,4:27,,201,202,8.0,,,,,,159,219,50.0% L / 50.0% R,1.42,11.5,7.8,16,,4:21,161,00:53.3,4:27,178,74
11,00:54.0,09:31.7,0.2,4:30,,200,202,9.0,9.0,,,,,158,221,49.9% L / 50.1% R,1.4,11.3,7.9,16,,4:27,161,0:54,4:30,178,74
12,00:54.4,10:26,0.2,4:32,,199,201,,9.0,,,,,159,219,50.0% L / 50.0% R,1.39,11.2,7.8,16,,4:28,160,0:54,4:30,178,74
13,00:55.8,11:22,0.2,4:39,,198,201,10.0,,,,,,159,223,49.7% L / 50.3% R,1.33,11.2,8.2,16,,4:34,160,00:55.8,4:39,178,74
14,00:55.8,12:18,0.2,4:39,,201,203,,10.0,,,,,159,222,49.5% L / 50.5% R,1.37,11.5,8.1,16,,4:33,160,00:55.8,4:39,178,74
15,00:47.9,13:06,0.2,4:00,,203,205,12.0,,,,,,160,219,49.7% L / 50.3% R,1.4,11.0,7.7,14,,4:12,162,0:46,3:50,178,74
16,00:10.6,13:16,0.02,10:02,,203,203,,,,,,,139,231,49.9% L / 50.1% R,1.36,8.8,6.3,3,,4:15,159,00:10.6,10:02,178,74
