ラップ数,タイム,累積時間,距離,平均ペース,勾配調整後のペース（GAP）平均,平均心拍数,最大心拍数,総上昇量,総下降量,平均パワー,平均W/kg,最大パワー,最大W/kg,平均ピッチ,平均接地時間,平均GCTバランス,平均歩幅,平均上下動,平均上下動比,カロリー,平均気温,最高ペース,最高ピッチ,移動時間,平均移動ペース,身長,体重
1,00:43.2,00:43.2,0.2,3:36,,141,153,9.0,,,,,,182,171,左 50.8%／右 49.3%,1.39,8.6,7.2,7,,3:40,188,0:43,3:35,171,55
2,00:42.4,01:25.7,0.2,3:32,,155,163,,9.0,,,,,182,169,左 50.7%／右 49.3%,1.52,8.5,5.3,9,,3:26,183,00:42.4,3:32,171,55
3,00:44.2,02:09.9,0.2,3:41,,163,164,9.0,,,,,,180,171,左 50.7%／右 49.3%,1.54,8.8,5.4,10,,3:26,182,00:44.2,3:41,171,55
4,00:43.7,02:53.7,0.2,3:39,,168,178,,8.0,,,,,179,174,左 50.4%／右 49.6%,1.55,8.7,5.4,9,,3:31,181,0:43,3:35,171,55
5,00:42.7,03:36.4,0.2,3:34,,184,186,9.0,,,,,,178,175,左 50.3%／右 49.7%,1.55,8.8,5.4,9,,3:34,180,00:42.7,3:34,171,55
6,00:44.0,04:20.4,0.2,3:40,,186,188,,11.0,,,,,180,177,左 50.2%／右 49.8%,1.54,8.5,5.3,9,,3:31,182,00:44.0,3:40,171,55
7,00:43.3,05:03.7,0.2,3:36,,187,188,9.0,,,,,,180,177,左 49.8%／右 50.2%,1.55,8.5,5.2,9,,3:32,181,0:43,3:35,171,55
8,00:44.7,05:48.4,0.2,3:43,,188,189,,9.0,,,,,179,180,左 49.8%／右 50.2%,1.52,8.6,5.4,9,,3:35,181,00:44.7,3:43,171,55
9,00:43.5,06:31.9,0.2,3:37,,188,189,8.0,,,,,,179,180,左 50.2%／右 49.8%,1.53,8.7,5.4,9,,3:41,182,00:43.5,3:37,171,55
10,00:45.3,07:17.2,0.2,3:47,,188,189,,8.0,,,,,179,185,左 50.0%／右 50.0%,1.51,8.6,5.4,9,,3:41,181,0:45,3:45,171,55
11,00:43.2,08:00.4,0.2,3:36,,188,190,9.0,,,,,,179,182,左 50.1%／右 49.9%,1.53,8.5,5.3,9,,3:42,182,0:43,3:35,171,55
12,00:45.1,08:45.5,0.2,3:46,,190,191,,9.0,,,,,179,182,左 49.9%／右 50.1%,1.49,8.4,5.3,9,,3:41,183,0:45,3:45,171,55
13,00:42.1,09:27.6,0.2,3:31,,191,193,9.0,,,,,,183,181,左 49.7%／右 50.3%,1.56,8.1,4.9,9,,3:35,186,0:42,3:30,171,55
14,00:41.7,10:09,0.2,3:28,,193,195,,8.0,,,,,185,181,左 49.8%／右 50.2%,1.55,7.9,4.8,9,,3:22,192,00:41.7,3:28,171,55
15,00:40.0,10:49,0.2,3:20,,193,197,10.0,7.0,,,,,186,180,左 50.6%／右 49.4%,1.62,7.6,4.4,8,,3:17,189,00:40.0,3:20,171,55
16,00:01.6,10:51,0.01,2:05,,196,196,,,,,,,186,175,左 50.9%／右 49.1%,1.68,7.2,4.2,0,,3:17,186,0:01,1:18,171,55
