ラップ数,タイム,累積時間,距離,平均ペース,勾配調整後のペース（GAP）平均,平均心拍数,最大心拍数,総上昇量,総下降量,平均パワー,平均W/kg,最大パワー,最大W/kg,平均ピッチ,平均接地時間,平均GCTバランス,平均歩幅,平均上下動,平均上下動比,カロリー,平均気温,最高ペース,最高ピッチ,移動時間,平均移動ペース,身長,体重
1,00:53.7,00:53.7,0.2,4:28,,107,126,,8,,,,,153,228,50.2% L / 49.8% R,1.26,12,12,6,,4:16,157,0:53,4:25,177,55
2,00:51.8,01:45.5,0.2,4:19,,136,142,6,,,,,,155,224,50.2% L / 49.8% R,1.45,12.3,8.3,8,,4:14,158,00:51.8,4:19,177,55
3,00:51.5,02:36.9,0.2,4:17,,147,151,,,,,,,154,226,50.1% L / 49.9% R,1.49,12.5,8.2,9,,4:08,155,00:51.5,4:17,177,55
4,00:53.1,03:30.1,0.2,4:26,,151,156,8,5,,,,,154,227,50.6% L / 49.4% R,1.44,12.6,8.5,10,,4:17,156,0:52,4:20,177,55
5,00:51.2,04:21.3,0.2,4:16,,153,155,,9,,,,,153,229,50.8% L / 49.3% R,1.51,12.6,8.1,10,,4:09,155,0:51,4:15,177,55
6,00:51.7,05:13.0,0.2,4:19,,154,157,7,,,,,,153,226,51.0% L / 49.0% R,1.47,12.6,8.3,10,,4:13,155,00:51.7,4:19,177,55
7,00:49.4,06:02.5,0.2,4:07,,157,159,,10,,,,,153,223,51.8% L / 48.2% R,1.57,12.8,7.9,9,,4:02,155,0:49,4:05,177,55
8,00:51.5,06:53.9,0.2,4:17,,161,165,12,,,,,,154,223,51.9% L / 48.1% R,1.51,12.6,8.1,10,,4:07,156,00:51.5,4:17,177,55
9,00:49.8,07:43.7,0.2,4:09,,164,165,,11,,,,,153,225,50.9% L / 49.1% R,1.58,12.7,7.8,10,,4:01,154,0:49,4:05,177,55
10,00:53.0,08:36.7,0.2,4:25,,163,165,7,,,,,,153,229,50.5% L / 49.5% R,1.51,12.6,8.1,10,,4:10,154,0:53,4:25,177,55
11,00:49.0,09:25.8,0.2,4:05,,164,165,,6,,,,,154,227,50.1% L / 49.9% R,1.56,12.6,7.9,10,,4:05,155,00:49.0,4:05,177,55
12,00:52.4,10:18,0.2,4:22,,166,168,9,,,,,,153,229,50.2% L / 49.8% R,1.5,12.7,8.2,10,,4:13,154,00:52.4,4:22,177,55
13,00:50.5,11:09,0.2,4:13,,166,166,,9,,,,,153,225,50.5% L / 49.5% R,1.54,12.6,7.9,10,,4:13,155,00:50.5,4:13,177,55
14,00:50.0,11:59,0.2,4:10,,167,168,8,,,,,,154,228,50.7% L / 49.3% R,1.5,12.4,8.1,10,,3:59,155,0:49,4:05,177,55
15,00:51.5,12:50,0.2,4:17,,168,170,,9,,,,,153,228,50.4% L / 49.6% R,1.57,12.5,7.7,10,,3:55,154,00:51.5,4:17,177,55
16,00:40.3,13:31,0.15,4:26,,170,171,13,,,,,,153,228,50.4% L / 49.6% R,1.47,12.6,8.4,8,,4:16,154,0:40,4:24,177,55
