dynamics,prediction_time
0,58.173065185546875
1,58.175071716308594
2,58.17707824707031
3,58.179080963134766
4,58.181087493896484
5,58.1830940246582
6,58.18510055541992
7,58.187103271484375
8,58.18911361694336
9,58.19111633300781
10,58.19312286376953
11,58.19512939453125
12,58.19713592529297
13,58.19914245605469
14,58.201148986816406
15,58.20315170288086
16,58.205162048339844
17,58.20716857910156
18,58.20917510986328
19,58.211181640625
20,58.21318435668945
21,58.215187072753906
22,58.21719741821289
23,58.219200134277344
24,58.22120666503906
25,58.22322082519531
26,58.22522735595703
27,58.22722625732422
28,58.22923278808594
29,58.23124313354492
30,58.233245849609375
31,58.235252380371094
32,58.23725891113281
33,58.23926544189453
34,58.24127960205078
35,58.24327850341797
36,58.24528503417969
37,58.24729919433594
38,58.249298095703125
39,58.251304626464844
40,58.25330352783203
41,58.25531768798828
42,58.25731658935547
43,58.25932312011719
44,58.26133346557617
45,58.26333999633789
46,58.265342712402344
47,58.26735305786133
48,58.26935958862305
49,58.2713623046875
50,58.27336883544922
51,58.27537536621094
52,58.277381896972656
53,58.279388427734375
54,58.28139114379883
55,58.28339767456055
56,58.28540802001953
57,58.28741455078125
58,58.28941345214844
59,58.29142761230469
60,58.29343032836914
61,58.29543685913086
62,58.29743957519531
63,58.2994499206543
64,58.30146026611328
65,58.303462982177734
66,58.30547332763672
67,58.30747604370117
68,58.309478759765625
69,58.311485290527344
70,58.31349182128906
71,58.31549835205078
72,58.317508697509766
73,58.31951141357422
74,58.32151794433594
75,58.32352828979492
76,58.325531005859375
77,58.32752990722656
78,58.32954025268555
79,58.33155059814453
80,58.33355712890625
81,58.33556365966797
82,58.33756637573242
83,58.339569091796875
84,58.341583251953125
85,58.34358215332031
86,58.34558868408203
87,58.34759521484375
88,58.349605560302734
89,58.35160446166992
90,58.353614807128906
91,58.355621337890625
92,58.357627868652344
93,58.35963439941406
94,58.36164093017578
95,58.363643646240234
96,58.36565399169922
97,58.367652893066406
98,58.369659423828125
99,58.371665954589844
100,58.37367248535156
101,58.37567901611328
102,58.37769317626953
103,58.37969970703125
104,58.38169860839844
105,58.382469177246094
106,58.380088806152344
107,58.37770462036133
108,58.37532043457031
109,58.3729362487793
110,58.37055206298828
111,58.3681755065918
112,58.36578369140625
113,58.363399505615234
114,58.361019134521484
115,58.358638763427734
116,58.35625076293945
117,58.35386276245117
118,58.35148620605469
119,58.349098205566406
120,58.34671401977539
121,58.34433364868164
122,58.34194564819336
123,58.339561462402344
124,58.337181091308594
125,58.334800720214844
126,58.33241271972656
127,58.33003234863281
128,58.32764434814453
129,58.32526397705078
130,58.32288360595703
131,58.320491790771484
132,58.318111419677734
133,58.315731048583984
134,58.31334686279297
135,58.31095504760742
136,58.3085823059082
137,58.30619812011719
138,58.30381774902344
139,58.30142593383789
140,58.299049377441406
141,58.296661376953125
142,58.29427719116211
143,58.29189682006836
144,58.289512634277344
145,58.287132263183594
146,58.28474044799805
147,58.2823600769043
148,58.27997589111328
149,58.27759552001953
150,58.275211334228516
151,58.272823333740234
152,58.27044677734375
153,58.26805877685547
154,58.26567459106445
155,58.26329040527344
156,58.26091003417969
157,58.258522033691406
158,58.256141662597656
159,58.253753662109375
160,58.251373291015625
161,58.248992919921875
162,58.246604919433594
163,58.24422073364258
164,58.24183654785156
165,58.23945617675781
166,58.237064361572266
167,58.23468780517578
168,58.232303619384766
169,58.22991943359375
170,58.2275390625
171,58.22515106201172
172,58.22277069091797
173,58.22038269042969
174,58.21799850463867
175,58.21561813354492
176,58.21323776245117
177,58.210853576660156
178,58.208473205566406
179,58.206085205078125
180,58.203704833984375
181,58.201316833496094
182,58.198936462402344
183,58.19655227661133
184,58.19417190551758
185,58.19178771972656
186,58.18939971923828
187,58.18701934814453
188,58.18463134765625
189,58.182247161865234
190,58.17986297607422
191,58.17748260498047
192,58.17509841918945
193,58.17271423339844
194,58.17033004760742
195,58.16794967651367
196,58.165565490722656
197,58.163177490234375
198,58.160797119140625
199,58.158409118652344
200,58.156028747558594
201,58.15364074707031
202,58.15126419067383
203,58.14888000488281
204,58.14649200439453
205,58.14410400390625
206,58.1417236328125
207,58.13934326171875
208,58.136962890625
209,58.13457489013672
210,58.13219451904297
211,58.12981033325195
212,58.12742233276367
213,58.125038146972656
214,58.122657775878906
215,58.120277404785156
216,58.117889404296875
217,58.11551284790039
218,58.113128662109375
219,58.110740661621094
220,58.108360290527344
221,58.10597229003906
222,58.10359191894531
223,58.1012077331543
224,58.09882354736328
225,58.096435546875
226,58.094058990478516
227,58.0916748046875
228,58.08928680419922
229,58.08690643310547
230,58.08452224731445
231,58.08213806152344
232,58.079750061035156
233,58.07737731933594
234,58.07498550415039
235,58.072601318359375
236,58.07021713256836
237,58.067832946777344
238,58.065452575683594
239,58.06306457519531
240,58.06068420410156
241,58.05830383300781
242,58.05592346191406
243,58.05353546142578
244,58.0511474609375
245,58.04877471923828
246,58.04639434814453
247,58.044002532958984
248,58.0416145324707
249,58.039241790771484
250,58.03684997558594
251,58.03446578979492
252,58.032081604003906
253,58.029701232910156
254,58.027320861816406
255,58.024932861328125
256,58.022552490234375
257,58.020172119140625
258,58.01778793334961
259,58.01539611816406
260,58.01301574707031
261,58.0106315612793
262,58.008243560791016
263,58.00586700439453
264,58.00348663330078
265,58.0010986328125
266,57.99871826171875
267,57.99633026123047
268,57.99394226074219
269,57.99156188964844
270,57.98917770385742
271,57.986793518066406
272,57.984413146972656
273,57.98202896118164
274,57.979644775390625
275,57.97726058959961
276,57.97488021850586
277,57.972496032714844
278,57.970115661621094
279,57.96772766113281
280,57.96533966064453
281,57.96296310424805
282,57.960575103759766
283,57.95819091796875
284,57.955810546875
285,57.95343017578125
286,57.95104217529297
287,57.94865417480469
288,57.9462776184082
289,57.94390106201172
290,57.941505432128906
291,57.939125061035156
292,57.936744689941406
293,57.934356689453125
294,57.931976318359375
295,57.92959213256836
296,57.927215576171875
297,57.92482376098633
298,57.92243576049805
299,57.92005157470703
