iteration, mae_loss, mse_loss,rmse_loss
188,0.39096,0.30186,0.53173
189,0.35452,0.27041,0.49512
190,0.36354,0.28721,0.512
191,0.37692,0.2881,0.51659
192,0.35164,0.26638,0.49577
193,0.34944,0.26725,0.49283
194,0.36803,0.28006,0.50846
195,0.36055,0.2685,0.49869
196,0.35252,0.25561,0.4842
197,0.33644,0.27132,0.49184
198,0.34641,0.25677,0.49026
199,0.33016,0.24892,0.47121
200,0.3313,0.24713,0.47482
201,0.34232,0.25448,0.48039
202,0.33654,0.26529,0.4868
203,0.33354,0.26158,0.48278
204,0.33426,0.24926,0.47515
205,0.31716,0.23535,0.45206
206,0.39461,0.29437,0.52709
207,0.36509,0.27497,0.50642
208,0.36514,0.26814,0.49856
209,0.32317,0.24277,0.47111
210,0.32352,0.23658,0.46191
211,0.36461,0.26834,0.50002
212,0.32533,0.24013,0.46794
213,0.335,0.25266,0.4796
214,0.32799,0.24207,0.46266
215,0.32687,0.26157,0.47595
216,0.35775,0.26985,0.49111
217,0.32548,0.24181,0.4728
218,0.31726,0.24582,0.46616
219,0.31101,0.22541,0.45257
220,0.32452,0.2295,0.45577
221,0.32994,0.24991,0.46925
222,0.30831,0.23337,0.46205
223,0.34303,0.24784,0.4724
224,0.33118,0.24794,0.4668
225,0.32565,0.23569,0.45227
226,0.35623,0.26119,0.49515
227,0.32553,0.24439,0.47506
228,0.32079,0.22455,0.45649
229,0.34929,0.25148,0.48002
230,0.31395,0.23099,0.45237
231,0.35724,0.27166,0.49756
232,0.32248,0.23208,0.46231
233,0.3387,0.24406,0.47777
234,0.34217,0.24989,0.47267
235,0.30307,0.21272,0.42749
236,0.30223,0.23152,0.44302
237,0.34407,0.25805,0.48842
238,0.3142,0.23483,0.45691
239,0.32624,0.24777,0.46716
240,0.29202,0.20966,0.42825
241,0.29601,0.21812,0.43523
242,0.35877,0.25672,0.48411
243,0.38211,0.28674,0.52021
244,0.30143,0.21895,0.4365
245,0.30695,0.21959,0.43904
246,0.35877,0.24591,0.47945
247,0.30319,0.23589,0.4526
248,0.44819,0.3558,0.58273
249,0.39539,0.2775,0.50979
250,0.30514,0.22348,0.44065
251,0.34218,0.25916,0.48863
252,0.31519,0.219,0.44558
253,0.31934,0.21614,0.43952
254,0.31501,0.21367,0.44315
255,0.29607,0.21424,0.43323
256,0.2848,0.20849,0.41586
257,0.3349,0.2516,0.48016
258,0.28304,0.21325,0.43075
259,0.29623,0.21527,0.4343
260,0.28413,0.2103,0.42615
261,0.35615,0.2499,0.48029
262,0.33403,0.22954,0.45752
263,0.31083,0.21476,0.43792
264,0.3336,0.22791,0.464
265,0.34996,0.2481,0.48084
266,0.29198,0.21794,0.43749
267,0.29944,0.19471,0.41602
268,0.29165,0.1988,0.41546
269,0.31921,0.22735,0.44797
270,0.33299,0.22821,0.45823
271,0.32705,0.23073,0.46029
272,0.41134,0.3036,0.53829
273,0.32101,0.22886,0.46129
274,0.33279,0.25035,0.48083
275,0.30954,0.21107,0.44357
276,0.31343,0.20353,0.43828
277,0.29781,0.19979,0.42896
278,0.34872,0.23113,0.4692
279,0.34899,0.24362,0.47962
280,0.28098,0.18756,0.40863
281,0.31167,0.20997,0.43736
282,0.40037,0.35229,0.57627
283,0.35338,0.23692,0.46917
284,0.34128,0.24137,0.47305
285,0.27747,0.20434,0.41111
286,0.32015,0.21256,0.44156
287,0.28845,0.19418,0.41766
288,0.26635,0.1849,0.39312
289,0.33602,0.22532,0.45753
290,0.33859,0.22775,0.45998
291,0.3394,0.22461,0.46117
292,0.26293,0.17578,0.39834
293,0.24626,0.16547,0.36608
294,0.27596,0.18285,0.39989
295,0.32289,0.21038,0.43476
