ラップ数,タイム,累積時間,距離,平均ペース,勾配調整後のペース（GAP）平均,平均心拍数,最大心拍数,総上昇量,総下降量,平均パワー,平均W/kg,最大パワー,最大W/kg,平均ピッチ,平均接地時間,平均GCTバランス,平均歩幅,平均上下動,平均上下動比,カロリー,平均気温,最高ペース,最高ピッチ,移動時間,平均移動ペース,身長,体重
1,00:46.6,00:46.6,0.2,3:53,,136,146,,7,,,,,190,205,左 50.1%／右 49.9%,1.33,6.7,5.2,5,,3:16,219,0:44,3:40,161,45
2,00:49.8,01:36.3,0.2,4:09,,152,155,9,,,,,,187,206,左 49.7%／右 50.3%,1.28,7.4,5.5,7,,4:04,188,00:49.8,4:09,161,45
3,00:48.1,02:24.5,0.2,4:01,,156,156,,8,,,,,186,204,左 49.2%／右 50.8%,1.28,7.5,5.7,7,,4:10,187,0:48,4:00,161,45
4,00:51.8,03:16.3,0.2,4:19,,155,157,9,,,,,,186,206,左 49.2%／右 50.8%,1.23,7.7,6,8,,4:12,187,00:51.8,4:19,161,45
5,00:48.9,04:05.2,0.2,4:05,,158,160,,8,,,,,185,205,左 49.1%／右 50.9%,1.28,7.7,5.8,8,,4:07,186,00:48.9,4:05,161,45
6,00:49.6,04:54.8,0.2,4:08,,161,161,9,,,,,,185,206,左 49.0%／右 51.0%,1.3,7.8,5.7,8,,4:07,187,0:49,4:05,161,45
7,00:48.3,05:43.1,0.2,4:02,,162,163,,11,,,,,186,206,左 49.0%／右 51.0%,1.32,7.7,5.6,8,,3:56,188,00:48.3,4:02,161,45
8,00:48.8,06:31.9,0.2,4:04,,163,164,8,,,,,,186,205,左 49.3%／右 50.8%,1.32,7.7,5.6,8,,3:56,188,00:48.8,4:04,161,45
9,00:47.9,07:19.8,0.2,4:00,,163,165,,8,,,,,186,206,左 48.5%／右 51.5%,1.35,7.7,5.5,8,,3:54,188,00:47.9,4:00,161,45
10,00:49.8,08:09.6,0.2,4:09,,165,166,8,8,,,,,185,205,左 48.1%／右 51.9%,1.33,7.7,5.6,8,,3:56,188,0:49,4:05,161,45
11,00:49.7,08:59.4,0.2,4:09,,164,165,8,,,,,,184,206,左 48.6%／右 51.4%,1.33,7.9,5.8,8,,4:01,185,00:49.7,4:09,161,45
12,00:48.1,09:47.5,0.2,4:01,,164,164,,8,,,,,185,206,左 48.0%／右 52.0%,1.31,7.8,5.8,8,,4:01,186,0:48,4:00,161,45
13,00:48.9,10:36,0.2,4:05,,163,164,6,,,,,,184,206,左 47.7%／右 52.3%,1.37,8,5.6,8,,3:55,185,00:48.9,4:05,161,45
14,00:48.1,11:25,0.2,4:01,,165,165,5,11,,,,,185,204,左 47.5%／右 52.5%,1.33,7.8,5.7,8,,3:59,186,0:48,4:00,161,45
15,00:47.1,12:12,0.2,3:55,,167,168,7,,,,,,186,203,左 47.4%／右 52.6%,1.37,7.5,5.3,8,,3:54,190,0:47,3:55,161,45
16,00:02.0,12:14,0.01,2:59,,168,168,,,,,,,190,202,左 47.5%／右 52.5%,1.35,6.9,5,0,,3:56,190,0:01,1:31,,
