ラップ数,タイム,累積時間,距離,平均ペース,勾配調整後のペース（GAP）平均,平均心拍数,最大心拍数,総上昇量,総下降量,平均パワー,平均W/kg,最大パワー,最大W/kg,平均ピッチ,平均接地時間,平均GCTバランス,平均歩幅,平均上下動,平均上下動比,カロリー,平均気温,最高ペース,最高ピッチ,移動時間,平均移動ペース,身長,体重
1,01:03.9,01:03.9,0.2,5:19,,122,140,,7,,,,,170,222,51.0% L / 49.0% R,1.02,9.4,9.5,9,,4:52,178,01:03.9,5:19,169,57
2,01:00.7,02:04.5,0.2,5:03,,149,153,13,,,,,,176,213,50.5% L / 49.5% R,1.11,9.1,7.9,11,,5:06,180,01:00.7,5:03,169,57
3,00:54.7,02:59.2,0.2,4:34,,157,161,,13,,,,,176,208,49.6% L / 50.4% R,1.21,9.2,7.4,10,,4:38,177,0:54,4:30,169,57
4,00:49.5,03:48.7,0.2,4:07,,167,175,10,,,,,,178,205,50.2% L / 49.8% R,1.33,8.8,6.4,10,,4:02,179,00:49.5,4:07,169,57
5,00:47.9,04:36.6,0.2,3:59,,179,183,,9,,,,,178,207,50.8% L / 49.2% R,1.41,8.8,6,10,,3:56,180,0:47,3:55,169,57
6,00:50.3,05:26.8,0.2,4:11,,182,186,7,,,,,,179,209,50.8% L / 49.2% R,1.38,8.6,6,11,,3:56,181,0:50,4:10,169,57
7,00:49.6,06:16.4,0.2,4:08,,186,187,,9,,,,,178,222,50.7% L / 49.3% R,1.35,8.7,6.3,11,,4:03,180,0:49,4:05,169,57
8,00:50.9,07:07.4,0.2,4:15,,189,190,13,,,,,,178,222,50.9% L / 49.1% R,1.35,8.8,6.3,11,,4:05,179,00:50.9,4:15,169,57
9,00:50.5,07:57.8,0.2,4:12,,190,191,,12,,,,,178,222,51.0% L / 49.0% R,1.35,8.8,6.3,11,,4:10,179,00:50.5,4:12,169,57
10,00:49.8,08:47.7,0.2,4:09,,191,192,10,,,,,,178,224,50.8% L / 49.2% R,1.34,8.8,6.3,11,,4:10,179,00:49.8,4:09,169,57
11,00:50.9,09:38.6,0.2,4:15,,191,193,,9,,,,,178,225,50.8% L / 49.2% R,1.34,8.8,6.3,11,,4:09,179,00:50.9,4:15,169,57
12,00:52.7,10:31,0.2,4:24,,193,193,8,,,,,,176,228,51.3% L / 48.7% R,1.3,9.1,6.8,12,,4:16,178,0:51,4:15,169,57
13,00:53.1,11:24,0.2,4:26,,193,193,,10,,,,,176,232,51.1% L / 48.9% R,1.3,9.1,6.8,12,,4:21,177,0:53,4:25,169,57
14,00:49.9,12:14,0.2,4:09,,193,194,12,,,,,,177,227,51.2% L / 48.8% R,1.35,8.8,6.3,11,,4:09,178,00:49.9,4:09,169,57
15,00:47.8,13:02,0.2,3:59,,197,199,,12,,,,,178,218,51.1% L / 48.9% R,1.4,8.7,6,11,,3:59,183,00:47.8,3:59,169,57
16,00:01.5,13:04,0.01,2:17,,198,198,,,,,,,183,223,51.5% L / 48.5% R,1.44,8.1,5.6,0,,3:58,183,00:01.5,2:17,169,57
17,00:06.6,15:32,0.01,12:34,,166,167,,,,,,,112,,,0.69,3.6,5.5,2,,14:53,112,0:06,11:21,169,57
